股票代码,股票名称,最新数据日期,最新收盘价,是否命中,命中策略,选股理由
000733,振华科技,2026-07-02,103.5148632,否,,
000735,罗牛山,2026-07-02,15.92692776,否,,
000736,中交发展,2026-07-02,10.6002975,否,,
000737,北方铜业,2026-07-02,36.45953688,否,,
000738,航发控制,2026-07-02,24.41370294,否,,
000739,普洛药业,2026-07-02,195.14211106,是,TurtleTradeStrategy,收盘价突破前20个交易日高点，成交额过亿，且当日阳线真涨。
000750,国海证券,2026-07-02,42.57708462,否,,
000751,锌业股份,2026-07-02,12.0321045,否,,
000752,*ST西发,2026-07-02,31.92649306,否,,
000753,漳州发展,2026-07-02,38.82644624,否,,
000755,山西高速,2026-07-02,9.49194116,否,,
000756,新华制药,2026-07-02,23.42773366,否,,
000757,浩物股份,2026-07-02,8.97209353,是,LimitUpShakeoutStrategy,涨停后洗盘回踩确认，趋势仍保持强势。
000758,中色股份,2026-07-02,89.19687165,否,,
000759,中百集团,2026-07-02,42.7405024,否,,
000761,本钢板材,2026-07-02,3.88303706,否,,
000762,西藏矿业,2026-07-02,115.27877718,否,,
000766,通化金马,2026-07-02,59.72927058,否,,
000767,晋控电力,2026-07-02,31.06301001,否,,
000768,中航西飞,2026-07-02,141.00171952,否,,
000776,广发证券,2026-07-02,153.26250426,否,,
000777,中核科技,2026-07-02,104.5378848,否,,
000778,新兴铸管,2026-07-02,43.64706412,否,,
000779,甘咨询,2026-07-02,13.13421368,否,,
000782,恒申新材,2026-07-02,18.26995316,否,,
000783,长江证券,2026-07-02,59.45265435,否,,
000785,居然智家,2026-07-02,10.6536246,否,,
000786,北新建材,2026-07-02,175.47694375,否,,
000788,北大医药,2026-07-02,13.6852515,否,,
000789,万年青,2026-07-02,21.996593,否,,
000790,华神科技,2026-07-02,34.84051188,否,,
000791,甘肃能源,2026-07-02,24.45527486,否,,
000792,盐湖股份,2026-07-02,187.92307356,否,,
000793,*ST华闻,2026-07-02,25.27855598,否,,
000795,英洛华,2026-07-02,33.7552822,否,,
000796,凯撒旅业,2026-07-02,27.38186616,否,,
000797,中国武夷,2026-07-02,11.82749175,否,,
000798,中水渔业,2026-07-02,12.24532934,否,,
000799,酒鬼酒,2026-07-02,74.5215162,否,,
000800,一汽解放,2026-07-02,12.61114,否,,
000801,四川九洲,2026-07-02,146.5912401,是,MaVolumeStrategy,5日均线上穿20日均线，且成交量大于20日均量1.5倍。
000802,北京文化,2026-07-02,7.8644214,否,,
000803,山高环能,2026-07-02,26.60909616,否,,
000807,云铝股份,2026-07-02,123.60818778,否,,
000809,和展能源,2026-07-02,7.2162695,否,,
000810,创维数字,2026-07-02,75.64652052,否,,
000811,冰轮环境,2026-07-02,830.95303935,否,,
000812,陕西金叶,2026-07-02,18.56643954,否,,
000813,德展健康,2026-07-02,9.09994365,否,,
000815,美利云,2026-07-02,37.17806256,否,,
000816,智慧农业,2026-07-02,13.98154029,否,,
000818,航锦科技,2026-07-02,23.21985358,否,,
000819,岳阳兴长,2026-07-02,63.94555046,否,,
000820,*ST节能,2026-07-02,3.609918,否,,
000821,ST京机,2026-07-02,15.20719368,否,,
000822,山东海化,2026-07-02,8.0495595,否,,
000823,超声电子,2026-07-02,53.6703804,否,,
000825,太钢不锈,2026-07-02,21.18626197,否,,
000826,*ST启环,2026-07-02,12.84929538,否,,
000828,东莞控股,2026-07-02,33.35601533,否,,
000829,天音控股,2026-07-02,90.98064835,否,,
000830,鲁西化工,2026-07-02,82.32634704,否,,
000831,中国稀土,2026-07-02,159.7857744,否,,
000833,粤桂股份,2026-07-02,35.498462,否,,
000837,秦川机床,2026-07-02,37.0559424,否,,
000838,*ST发展,2026-07-02,17.07769336,否,,
000839,国安股份,2026-07-02,43.37949301,否,,
000848,承德露露,2026-07-02,216.94074306,否,,
000850,华茂股份,2026-07-02,26.5206598,否,,
000852,石化机械,2026-07-02,21.6942519,否,,
000856,冀东装备,2026-07-02,7.76825868,否,,
000858,五粮液,2026-07-02,1284.889074,否,,
000859,国风新材,2026-07-02,26.97676149,否,,
000860,顺鑫农业,2026-07-02,21.24702138,否,,
000862,银星能源,2026-07-02,9.37622301,否,,
000863,三湘印象,2026-07-02,15.60356688,否,,
000868,安凯客车,2026-07-02,13.03773321,否,,
000869,张裕A,2026-07-02,63.83674416,否,,
000875,电投绿能,2026-07-02,5.88020475,否,,
000876,新希望,2026-07-02,96.03853882,否,,
000877,天山股份,2026-07-02,20.7227801,否,,
000878,云南铜业,2026-07-02,38.28985728,否,,
000880,潍柴重机,2026-07-02,129.28305901,否,,
000881,中广核技,2026-07-02,24.95875778,否,,
000882,华联股份,2026-07-02,3.01292481,否,,
000883,湖北能源,2026-07-02,20.13513288,否,,
000885,城发环境,2026-07-02,26.75304406,否,,
000886,海南高速,2026-07-02,9.54001826,否,,
000887,中鼎股份,2026-07-02,124.2529534,否,,
000888,峨眉山A,2026-07-02,45.96377164,否,,
000889,中嘉博创,2026-07-02,13.3332507,否,,
000890,法尔胜,2026-07-02,24.99553848,否,,
000892,欢瑞世纪,2026-07-02,9.4469482,否,,
000893,亚钾国际,2026-07-02,64.3664824,否,,
000895,双汇发展,2026-07-02,558.42136416,否,,
000897,津滨发展,2026-07-02,7.51395624,否,,
000898,鞍钢股份,2026-07-02,4.98540609,否,,
000899,赣能股份,2026-07-02,29.70289404,否,,
000900,现代投资,2026-07-02,45.27016702,否,,
000901,航天科技,2026-07-02,87.795162,否,,
000902,新洋丰,2026-07-02,36.20408532,否,,
000903,ST云动,2026-07-02,17.00741546,否,,
000905,厦门港务,2026-07-02,18.91087658,否,,
000906,浙商中拓,2026-07-02,22.99807175,否,,
000908,石药景峰,2026-07-02,20.512425,否,,
000909,*ST数源,2026-07-02,6.46211025,否,,
000910,大亚圣象,2026-07-02,13.353732,否,,
000911,*ST广糖,2026-07-02,5.73824632,否,,
000912,泸天化,2026-07-02,5.97792096,否,,
000913,钱江摩托,2026-07-02,25.31537112,否,,
000915,华特达因,2026-07-02,78.83580324,否,,
000917,电广传媒,2026-07-02,42.1599469,否,,
000919,金陵药业,2026-07-02,18.13639149,否,,
000920,沃顿科技,2026-07-02,37.45776792,否,,
000921,海信家电,2026-07-02,35.43360384,否,,
000922,佳电股份,2026-07-02,36.96313034,否,,
000923,河钢资源,2026-07-02,15.31676016,否,,
000925,众合科技,2026-07-02,29.27550056,否,,
000926,福星股份,2026-07-02,10.11872844,否,,
000927,中国铁物,2026-07-02,2.80993107,否,,
000928,中钢国际,2026-07-02,12.605495,否,,
000929,兰州黄河,2026-07-02,15.04834992,否,,
000930,中粮科技,2026-07-02,23.10506122,否,,
000931,中关村,2026-07-02,5.61907016,否,,
000932,华菱钢铁,2026-07-02,9.87948614,否,,
000933,神火股份,2026-07-02,253.32511027,否,,
000935,四川双马,2026-07-02,52.70529664,否,,
000936,华西股份,2026-07-02,24.42501282,否,,
000937,冀中能源,2026-07-02,50.40813177,否,,
000938,紫光股份,2026-07-02,138.51249371,否,,
000948,南天信息,2026-07-02,20.3698788,否,,
000949,新乡化纤,2026-07-02,24.99875306,否,,
000950,重药控股,2026-07-02,11.2855413,否,,
000951,中国重汽,2026-07-02,91.74243624,否,,
000952,广济药业,2026-07-02,7.09446768,否,,
000953,中哲精化,2026-07-02,10.8311634,否,,
000955,欣龙控股,2026-07-02,9.17617134,否,,
000957,中通客车,2026-07-02,38.296512,否,,
000958,电投产融,2026-07-02,19.71506592,否,,
000959,首钢股份,2026-07-02,6.35776345,否,,
000960,锡业股份,2026-07-02,113.92228393,否,,
000962,东方钽业,2026-07-02,210.35681632,否,,
000963,华东医药,2026-07-02,284.4301653,否,,
000965,天保基建,2026-07-02,8.64084585,否,,
000966,长源电力,2026-07-02,11.91969802,否,,
000967,盈峰环境,2026-07-02,50.3442895,否,,
000968,蓝焰控股,2026-07-02,9.47382128,否,,
000969,安泰科技,2026-07-02,134.13839817,否,,
000970,中科三环,2026-07-02,227.0763642,是,TurtleTradeStrategy,收盘价突破前20个交易日高点，成交额过亿，且当日阳线真涨。
000972,中基健康,2026-07-02,9.06052563,否,,
000973,佛塑科技,2026-07-02,41.86538832,否,,
000975,山金国际,2026-07-02,201.89173752,否,,
000977,浪潮信息,2026-07-02,320.38744386,否,,
000978,桂林旅游,2026-07-02,12.8168406,否,,
000980,众泰汽车,2026-07-02,3.078152,否,,
000981,山子高科,2026-07-02,19.2963354,否,,
000983,山西焦煤,2026-07-02,56.68848268,否,,
000985,大庆华科,2026-07-02,18.62572546,否,,
000987,越秀资本,2026-07-02,53.97168345,否,,
000988,华工科技,2026-07-02,1094.545727,否,,
000989,九芝堂,2026-07-02,38.09508066,否,,
000990,诚志股份,2026-07-02,21.02059938,否,,
000993,闽东电力,2026-07-02,10.79962185,否,,
000995,皇台酒业,2026-07-02,10.88164063,否,,
000997,新大陆,2026-07-02,146.40260544,否,,
000998,隆平高科,2026-07-02,71.84605725,否,,
000999,华润三九,2026-07-02,73.4561003,否,,
001201,东瑞股份,2026-07-02,19.62750456,否,,
001202,炬申股份,2026-07-02,19.4178413,否,,
001203,大中矿业,2026-07-02,35.06546862,否,,
001205,盛航股份,2026-07-02,19.91248875,否,,
001206,依依股份,2026-07-02,44.6229139,否,,
001207,联科科技,2026-07-02,24.37721586,否,,
001208,华菱线缆,2026-07-02,14.45759172,否,,
001209,洪兴股份,2026-07-02,24.6065764,否,,
001210,金房能源,2026-07-02,60.402091,否,,
001211,双枪科技,2026-07-02,34.53522728,否,,
001212,中旗新材,2026-07-02,82.70066546,否,,
001213,中铁特货,2026-07-02,3.62800361,否,,
001215,千味央厨,2026-07-02,39.49190788,否,,
001216,华瓷股份,2026-07-02,16.17475,否,,
001217,华尔泰,2026-07-02,9.73109259,否,,
001218,丽臣实业,2026-07-02,38.64618846,否,,
001219,青岛食品,2026-07-02,28.63933768,否,,
001220,世盟股份,2026-07-02,29.58818112,否,,
001221,悍高集团,2026-07-02,40.66696996,否,,
001222,源飞宠物,2026-07-02,19.88728,否,,
001223,欧克科技,2026-07-02,86.66066136,否,,
001225,和泰机电,2026-07-02,47.03906546,否,,
001226,拓山重工,2026-07-02,49.38170368,否,,
001227,兰州银行,2026-07-02,2.44690656,否,,
001228,永泰运,2026-07-02,29.5486928,否,,
001229,魅视科技,2026-07-02,55.6584,否,,
001230,劲旅环境,2026-07-02,28.58328,否,,
001231,农心科技,2026-07-02,19.2713787,否,,
001233,海安集团,2026-07-02,47.33731776,否,,
001234,泰慕士,2026-07-02,22.58073388,否,,
001236,弘业期货,2026-07-02,7.20196362,否,,
001237,惠康科技,2026-07-02,69.01,否,,
001238,浙江正特,2026-07-02,38.8363149,否,,
001239,永达股份,2026-07-02,13.14,否,,
001255,博菲电气,2026-07-02,25.90784,否,,
001256,炜冈科技,2026-07-02,31.0485582,否,,
001257,盛龙股份,2026-07-02,28.9563552,否,,
001258,立新能源,2026-07-02,7.128337,否,,
001259,利仁科技,2026-07-02,65.9923117,否,,
001260,坤泰股份,2026-07-02,16.9992743,否,,
001266,宏英智能,2026-07-02,68.89784139,否,,
001267,汇绿生态,2026-07-02,48.6853019,否,,
001268,联合精密,2026-07-02,37.62256986,否,,
001269,欧晶科技,2026-07-02,32.0187632,否,,
001270,铖昌科技,2026-07-02,272.38128036,否,,
001277,速达股份,2026-07-02,28.9912558,否,,
001278,一彬科技,2026-07-02,16.28644464,否,,
001279,强邦新材,2026-07-02,27.30783702,否,,
001280,中国铀业,2026-07-02,65.7,否,,
001282,三联锻造,2026-07-02,38.14552016,否,,
001283,豪鹏科技,2026-07-02,69.2702752,否,,
001285,瑞立科密,2026-07-02,43.25770631,否,,
001286,陕西能源,2026-07-02,12.14736729,否,,
001287,中电港,2026-07-02,29.17982537,否,,
001288,运机集团,2026-07-02,35.3881386,否,,
001289,龙源电力,2026-07-02,16.22317915,否,,
001296,长江材料,2026-07-02,38.0723336,否,,
001298,好上好,2026-07-02,90.5451183,否,,
001299,美能能源,2026-07-02,19.17304662,否,,
001300,三柏硕,2026-07-02,11.5228008,否,,
001301,尚太科技,2026-07-02,92.0216256,否,,
